"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 23 22:12:02 MSK 2026","Mon Feb 23 22:12:03 MSK 2026","330","","CreateOrderTest","","CreateOrderTest","testCreateOrderWithSingleColor[1]","testCreateOrderWithSingleColor[1]",""
"failed","Mon Feb 23 22:12:16 MSK 2026","Mon Feb 23 22:12:16 MSK 2026","200","","LoginCourierTest","","LoginCourierTest","testLoginNonExistingUserError","testLoginNonExistingUserError",""
"passed","Mon Feb 23 22:12:16 MSK 2026","Mon Feb 23 22:12:16 MSK 2026","226","","LoginCourierTest","","LoginCourierTest","testLoginCourierSuccess","testLoginCourierSuccess",""
"broken","Mon Feb 23 22:12:03 MSK 2026","Mon Feb 23 22:12:03 MSK 2026","326","","CreateOrderTest","","CreateOrderTest","testCreateOrderWithSingleColor[3]","testCreateOrderWithSingleColor[3]",""
"passed","Mon Feb 23 22:12:01 MSK 2026","Mon Feb 23 22:12:01 MSK 2026","178","","CreateCourierTest","","CreateCourierTest","testCreateCourierWithMissingLoginError","testCreateCourierWithMissingLoginError",""
"failed","Mon Feb 23 22:12:03 MSK 2026","Mon Feb 23 22:12:15 MSK 2026","12037","","GetOrderListTest","","GetOrderListTest","testGetOrderList","testGetOrderList",""
"broken","Mon Feb 23 22:12:03 MSK 2026","Mon Feb 23 22:12:03 MSK 2026","283","","CreateOrderTest","","CreateOrderTest","testCreateOrderWithSingleColor[2]","testCreateOrderWithSingleColor[2]",""
"passed","Mon Feb 23 22:12:00 MSK 2026","Mon Feb 23 22:12:01 MSK 2026","282","","CreateCourierTest","","CreateCourierTest","testCreateCourierWithMissingPasswordError","testCreateCourierWithMissingPasswordError",""
"passed","Mon Feb 23 22:12:01 MSK 2026","Mon Feb 23 22:12:01 MSK 2026","507","","CreateCourierTest","","CreateCourierTest","testCreateDuplicateCourierError","testCreateDuplicateCourierError",""
"failed","Mon Feb 23 22:12:01 MSK 2026","Mon Feb 23 22:12:02 MSK 2026","292","","CreateCourierTest","","CreateCourierTest","testCreateCourierWithMissingFirstnameError","testCreateCourierWithMissingFirstnameError",""
"failed","Mon Feb 23 22:12:15 MSK 2026","Mon Feb 23 22:12:16 MSK 2026","293","","LoginCourierTest","","LoginCourierTest","testLoginCourierWithIncorrectCredentialsError","testLoginCourierWithIncorrectCredentialsError",""
"passed","Mon Feb 23 22:11:54 MSK 2026","Mon Feb 23 22:12:00 MSK 2026","6328","","CreateCourierTest","","CreateCourierTest","testCreateCourierSuccess","testCreateCourierSuccess",""
"broken","Mon Feb 23 22:12:02 MSK 2026","Mon Feb 23 22:12:02 MSK 2026","506","","CreateOrderTest","","CreateOrderTest","testCreateOrderWithSingleColor[0]","testCreateOrderWithSingleColor[0]",""
"failed","Mon Feb 23 22:12:16 MSK 2026","Mon Feb 23 22:12:16 MSK 2026","198","","LoginCourierTest","","LoginCourierTest","testLoginCourierWithMissingFieldsError","testLoginCourierWithMissingFieldsError",""
